Morrison Oakmont Software|95000|2026-10-25|NA|Red|Grace Johnson|Technology
Panther Commerce|80000|2027-01-18|NA|Red|Rebecca Goldstein|Technology
Belfast Glen Supply|80000|2027-05-08|NA|Yellow|Rebecca Goldstein|Retail
Butler Analytics|80000|2026-10-21|EMEA|Yellow|Stephanie Brown|Technology
Aria Willow Devices|80000|2026-08-23|NA|Yellow|Robert White|Retail
Howard Innovation|80000|2026-10-24|APAC|Yellow|Brian Turner|
Badger Asset Management|80000|2026-11-10|NA|Yellow|Brian Turner|Technology
Ivory Digital|75000|2026-10-30|LATAM|Red|Aisha Kapoor|
Stone Analytics|75000|2025-05-17|NA|Red|Aisha Kapoor|Financial Services
Hudson Lakeside Devices|75000|2026-11-25|NA|Green|Brian Turner|Technology
Sequoia Lakeside Marketplace|75000|2026-11-15|NA|Red|Brian Turner|Retail
Coyote Riverview Fintech|75000|2027-06-12|EMEA|Yellow|Robert White|Healthcare
Graham Puma Lending|75000|2027-06-21|NA|Red|Stephanie Brown|Technology
Fairview Clinics|75000|2027-03-09|NA|Red|Stephanie Brown|Manufacturing
Day Mobility|75000|2026-04-19|NA|Red|Brian Turner|
Matthews Technologies|70000|2027-02-23|NA|Yellow|Rebecca Goldstein|
Fjord Bay Capital|70000|2026-11-29|NA|Yellow|Brian Turner|Technology
Morales Kestrel Catalog|70000|2026-04-29|APAC|Red|Robert White|Manufacturing
ZinqueTT|70000|2027-02-27|NA|Red|Brian Turner|Technology
Stag Valley Marketplace|70000|2026-08-16|NA|Yellow|Robert White|Retail
Larch Rocky Brands|70000|2027-06-04|NA|Yellow|Stephanie Brown|
Watson Toolworks|70000|2027-06-13|EMEA|Green|Brian Turner|Retail
Atlantic Cliff Cloud|70000|2026-10-29|APAC|Red|Rebecca Goldstein|
Sage Harbor Wellness|70000|2026-01-18|NA|Red|Stephanie Brown|Financial Services
Mendoza Consumer Goods|70000|2025-12-14|NA|Red|Robert White|Manufacturing
Foster Buffalo Point of Sale|70000|2026-11-04|EMEA|Yellow|Brian Turner|
Jones Lakeside Finance|70000|2026-03-30|NA|Red|Brian Turner|Retail
Edge Market|70000|2025-11-24|NA|Red|Rebecca Goldstein|Financial Services
Vista Security|70000|2027-05-30|NA|Yellow|Brian Turner|Technology
Marlin Partners|70000|2027-05-02|NA|Red|Aisha Kapoor|Financial Services
Kelley Knoll Advisors|70000|2026-09-22|APAC|Red|Stephanie Brown|Manufacturing
Juniper Lane Solutions|70000|2027-06-14|NA|Yellow|Rebecca Goldstein|Technology
Ryan Hawk Point of Sale|65000|2026-12-12|NA|Yellow|Brian Turner|
Willow & Finch Imaging|65000|2026-12-24|NA|Green|Brian Turner|Manufacturing
Quarry Stone Systems|65000|2027-04-22|APAC|Yellow|Aisha Kapoor|Technology
Raven Pharma|65000|2026-10-30|NA|Red|Stephanie Brown|Technology
Prime Security Systems|65000|2027-02-08|NA|Red|Robert White|Retail
Emerald Merchants|65000|2026-12-13|NA|Yellow|Brian Turner|Retail
Fleming Oakridge Asset Management|65000|2026-12-26|NA|Yellow|Stephanie Brown|Financial Services
Choi Stores|65000|2025-12-27|NA|Red|Brian Turner|Financial Services
Stephens Knoll Devices|65000|2025-05-25|EMEA|Red|Brian Turner|Manufacturing
Lupine Outfitters|65000|2026-06-03|APAC|Red|Brian Turner|Technology
Brisk Retail|65000|2026-06-13|NA|Yellow|Rebecca Goldstein|Healthcare
Collins Commerce|60000|2026-08-19|NA|Yellow|Brian Turner|Healthcare
Aspen Hospitals|60000|2026-11-12|NA|Green|Stephanie Brown|
Forest Cedarwood Commerce|60000|2026-04-09|NA|Red|Robert White|
Wagner Data|60000|2026-09-28|EMEA|Yellow|Brian Turner|
Johnson Payments|60000|2027-04-08|NA|Yellow|Brian Turner|Technology
Sterling Bridge Industrial|60000|2027-05-30|EMEA|Red|Aisha Kapoor|Financial Services
Boone Credit|60000|2026-12-23|NA|Green|Aisha Kapoor|Manufacturing
Wilson AI|60000|2026-11-20|NA|Yellow|Stephanie Brown|
Simmons Redwood Devices|60000|2026-09-18|NA|Red|Aisha Kapoor|
Reyes Semiconductors|60000|2026-07-25|NA|Yellow|Robert White|Technology
Oakridge Westlake Networks|60000|2027-06-16|EMEA|Yellow|Brian Turner|Technology
Francis Semiconductors|60000|2027-05-29|EMEA|Red|Brian Turner|Technology
Baker Westlake Outfitters|60000|2026-08-23|NA|Green|Brian Turner|Financial Services
Gomez Biotech|60000|2025-10-12|APAC|Red|Robert White|Healthcare
Skyline Foundry Advisors|60000|2027-05-03|NA|Red|Aisha Kapoor|Manufacturing
Anchor Ridge Solutions|55000|2026-05-11|APAC|Yellow|Stephanie Brown|Technology
Chang Eagle Automation|55000|2027-01-18|NA|Green|Robert White|
Kaur Semiconductors|55000|2026-07-07|LATAM|Yellow|Stephanie Brown|Technology
Starlight Ridge Automation|55000|2026-12-20|EMEA|Yellow|Rebecca Goldstein|Financial Services
Iron Summit Advisors|55000|2026-03-31|NA|Red|Brian Turner|Retail
Crown Vista Networks|55000|2027-01-05|NA|Yellow|Stephanie Brown|Cybersecurity
Ingram Falcon Innovation|55000|2025-06-27|EMEA|Red|Robert White|Manufacturing
Steele Software|55000|2027-01-11|NA|Yellow|Brian Turner|Healthcare
Bison Marketplace|55000|2026-03-20|EMEA|Red|Aisha Kapoor|Financial Services
Cumulus Outfitters|55000|2026-02-26|LATAM|Red|Brian Turner|Technology
Aerial Aspen Market|55000|2027-05-31|NA|Green|Brian Turner|Technology
Dominguez Riverside Devices|55000|2026-10-04|NA|Green|Robert White|
Williamson Leopard Investments|55000|2027-05-07|NA|Yellow|Stephanie Brown|
Grant Forest Networks|55000|2026-10-16|NA|Red|Aisha Kapoor|Cybersecurity
Murphy Otter Omnichannel|55000|2026-12-27|APAC|Red|Brian Turner|Manufacturing
Sharma Knoll Lending|50000|2027-05-10|LATAM|Red|Rebecca Goldstein|Manufacturing
Evergreen Commerce|50000|2026-07-19|NA|Red|Stephanie Brown|Manufacturing
Rodgers Credit|50000|2026-11-25|EMEA|Yellow|Rebecca Goldstein|Healthcare
Twin Lantern Systems|50000|2026-04-09|NA|Red|Robert White|Financial Services
Venice Data|50000|2027-05-01|EMEA|Red|Hannah Lee|Retail
Atlas Beacon Stores|50000|2027-03-24|LATAM|Yellow|Robert White|Technology
Chapman Cedarwood Genomics|50000|2026-11-09|NA|Yellow|Robert White|
Coleman Networks|50000|2025-05-19|NA|Red|Stephanie Brown|Technology
Echo Valley House|50000|2026-12-04|NA|Yellow|Robert White|
Le Cougar Nutrition|50000|2027-01-25|NA|Red|Brian Turner|Cybersecurity
Lefevre Nutrition|50000|2026-11-19|NA|Green|Rebecca Goldstein|Technology
Richardson Catalog|50000|2027-03-11|EMEA|Red|Stephanie Brown|
Olson Consumer Goods|45000|2027-01-03|EMEA|Red|Grace Johnson|
Leon Diagnostics|45000|2025-12-25|EMEA|Red|Rebecca Goldstein|Manufacturing
Pinewood Insurance|45000|2026-03-19|NA|Red|Zoe Davis|
Velez Networks|45000|2026-04-01|EMEA|Red|Zoe Davis|Manufacturing
Bobcat Infosec|45000|2026-12-04|LATAM|Green|Zoe Davis|
Hickory Collective|45000|2027-02-04|NA|Red|Aisha Kapoor|Technology
Gardner IoT|45000|2026-11-29|NA|Yellow|Zoe Davis|Financial Services
Gates Systems|45000|2027-02-03|NA|Yellow|Zoe Davis|Retail
Snyder Grove Diagnostics|45000|2027-05-28|NA|Red|Grace Johnson|Retail
Navy Bayview Supply|45000|2026-07-11|LATAM|Red|Hannah Lee|Retail
Osprey Ridge Systems|45000|2027-04-14|NA|Red|Rebecca Goldstein|Retail
Norman Solutions|40000|2026-07-30|NA|Yellow|Ethan Wong|Retail
Reid Nutrition|40000|2027-03-02|NA|Red|Ethan Wong|
Anderson Innovation|40000|2027-01-27|NA|Red|Zoe Davis|
Hughes Software|40000|2026-09-18|EMEA|Yellow|Hannah Lee|
Park Stag AI|40000|2026-12-07|LATAM|Yellow|Mark ONeill|Technology
Castillo Catalog|40000|2026-10-02|EMEA|Yellow|Mark ONeill|Financial Services
Sandoval Lynx Treasury|40000|2027-03-28|NA|Red|Zoe Davis|Technology
Craig Point of Sale|40000|2027-03-23|NA|Red|Mark ONeill|
Morgan Devices|40000|2026-08-08|NA|Red|Mark ONeill|Financial Services
Chen Medtech|40000|2026-11-23|NA|Red|Mark ONeill|Cybersecurity
Zenith Company|40000|2027-07-03|NA|Red|Zoe Davis|Manufacturing
Great Lakes AI|40000|2027-05-21|EMEA|Red|Carlos Ramirez|Technology
Coral Marketplace|40000|2027-05-03|NA|Red|Mark ONeill|Retail
Finch Global|40000|2026-12-19|NA|Yellow|Carlos Ramirez|Technology
Chung Rehab|40000|2026-03-30|NA|Red|Mark ONeill|
Kowalski Commerce|40000|2026-11-12|NA|Yellow|Grace Johnson|
Lam Medtech|40000|2026-07-27|NA|Yellow|Zoe Davis|Manufacturing
Dolphin Ventures|40000|2026-09-28|NA|Yellow|Grace Johnson|Technology
Salazar Sandstone Mobility|40000|2026-12-04|NA|Yellow|Zoe Davis|
Stanley Waterfront Systems|40000|2026-09-02|NA|Red|Hannah Lee|Manufacturing
Harbourview Analytics|40000|2026-11-06|APAC|Yellow|Grace Johnson|
Eagle Partners|40000|2027-01-07|NA|Yellow|Grace Johnson|
Hicks Consumer Goods|40000|2026-11-10|APAC|Yellow|Carlos Ramirez|Retail
Spencer Outfitters|40000|2026-08-28|NA|Yellow|Hannah Lee|Manufacturing
Ward Raven Ecommerce|40000|2027-04-19|NA|Yellow|Mark ONeill|
Dawn Digital|40000|2026-09-26|NA|Yellow|Hannah Lee|Healthcare
Robertson Pharma|40000|2026-07-18|NA|Yellow|Carlos Ramirez|Cybersecurity
Lara Diagnostics|35000|2027-06-25|APAC|Red|Hannah Lee|
Mahmood Lakeview IoT|35000|2026-12-11|NA|Red|Carlos Ramirez|
Murray Rehab|35000|2026-04-17|EMEA|Red|Carlos Ramirez|Technology
Oakmont Capital|35000|2026-08-30|NA|Red|Grace Johnson|Technology
Aero Harbor Medical|35000|2026-03-14|NA|Green|Hannah Lee|Financial Services
Brookside Commerce|35000|2027-02-07|EMEA|Yellow|Zoe Davis|
Meadows Digital|35000|2026-12-10|EMEA|Red|Grace Johnson|
Waterfront Redwood Devices|35000|2026-12-11|EMEA|Yellow|Carlos Ramirez|Financial Services
Marble Dataworks|35000|2026-12-14|NA|Red|Carlos Ramirez|
Thompson Tiger Platforms|35000|2027-03-22|EMEA|Yellow|Grace Johnson|Technology
Midlands Systems|35000|2026-07-26|EMEA|Red|Grace Johnson|Technology
Sullivan Coyote Asset Management|35000|2027-05-15|NA|Red|Zoe Davis|
Bennett Birch Supply|35000|2026-07-22|NA|Yellow|Hannah Lee|Healthcare
Ishikawa Badger Innovation|35000|2027-03-01|APAC|Red|Carlos Ramirez|Manufacturing
Brookfield Wolf Catalog|35000|2027-01-28|APAC|Green|Zoe Davis|
Golden Timber Software|35000|2026-05-13|EMEA|Red|Ethan Wong|
Keller Fabrication|35000|2027-05-16|APAC|Red|Mark ONeill|Cybersecurity
White Fintech|35000|2026-09-11|EMEA|Yellow|Zoe Davis|Retail
Cruz Fjord Hospitals|35000|2026-12-05|NA|Red|Hannah Lee|Technology
Hoffman Wolf Wellness|35000|2027-04-19|NA|Red|Carlos Ramirez|Technology
Valiant Arbor Networks|35000|2026-12-07|APAC|Red|Mark ONeill|Technology
Gosling Ventures|35000|2026-12-03|APAC|Red|Grace Johnson|
Timberline Bear Fulfillment|35000|2026-11-03|LATAM|Red|Grace Johnson|Technology
Windmill Forge Systems|35000|2026-03-25|NA|Yellow|Hannah Lee|Financial Services
King Platforms|35000|2026-10-04|NA|Red|Hannah Lee|Manufacturing
Soto Marketplace|30000|2027-03-15|NA|Yellow|Hannah Lee|Technology
Wallace Systems|30000|2027-06-06|NA|Yellow|Ethan Wong|
Springs Lending|30000|2026-11-02|NA|Yellow|Mark ONeill|
Rossi Sierra Diagnostics|30000|2026-12-23|NA|Red|Mark ONeill|Retail
Jerusalem Leopard Rehab|30000|2026-12-08|APAC|Red|Zoe Davis|
Warren Springs Data|30000|2027-06-24|NA|Red|Ethan Wong|Manufacturing
Moose Analytics|30000|2026-03-26|NA|Red|Hannah Lee|Healthcare
Evans IoT|30000|2027-06-07|NA|Yellow|Ethan Wong|
Wolf Merchants|30000|2027-03-12|NA|Yellow|Grace Johnson|Retail
Jimenez Technologies|30000|2027-03-24|NA|Red|Ethan Wong|
Taylor Medtech|30000|2027-02-25|EMEA|Yellow|Grace Johnson|Retail
Crystal Solutions|30000|2027-03-19|NA|Red|Ethan Wong|Cybersecurity
Zhang Solutions|30000|2026-04-14|EMEA|Red|Ethan Wong|
Becker Omnichannel|30000|2027-05-04|APAC|Red|Grace Johnson|
Kestrel Point Capital|30000|2026-07-10|NA|Yellow|Mark ONeill|Healthcare
Lawrence Wellness|30000|2027-06-03|NA|Red|Mark ONeill|
Bradley Wholesale|30000|2026-09-22|NA|Green|Carlos Ramirez|Technology
Gupta Cedar AI|30000|2027-05-19|NA|Red|Zoe Davis|Healthcare
Phillips Ridge Omnichannel|30000|2027-01-28|NA|Red|Carlos Ramirez|Technology
Yang Clinics|30000|2026-05-15|NA|Red|Hannah Lee|Financial Services
Orchid Ridge Solutions|30000|2026-09-21|NA|Yellow|Ethan Wong|Financial Services
Rosales Technologies|30000|2027-05-28|APAC|Red|Hannah Lee|
Duarte Pharma|30000|2027-01-12|NA|Yellow|Mark ONeill|Financial Services
De Leon Wholesale|30000|2026-04-09|EMEA|Red|Zoe Davis|Technology
Cougar Technologies|30000|2026-11-30|NA|Red|Zoe Davis|
Knight Bayside Outfitters|30000|2026-10-02|NA|Red|Zoe Davis|Healthcare
Cobalt Technologies|30000|2027-05-01|NA|Red|Zoe Davis|
Puma Raven Software|30000|2027-04-23|LATAM|Red|Hannah Lee|Cybersecurity
Venture Harbour Systems|25000|2026-12-08|NA|Red|Ethan Wong|
Yilmaz Moose Systems|25000|2027-04-22|NA|Red|Ethan Wong|
Okeke Solutions|25000|2027-01-11|NA|Red|Hannah Lee|Technology
FlexForge Manufacturing|25000|2026-10-29|NA|Green|Zoe Davis|Retail
True Company|25000|2027-02-14|EMEA|Yellow|Ethan Wong|Retail
Current Imaging|25000|2026-11-22|EMEA|Red|Grace Johnson|Manufacturing
Walker Pinecrest Stores|25000|2026-07-22|NA|Red|Grace Johnson|
Silver Glen Cloud|25000|2027-05-07|EMEA|Red|Grace Johnson|Retail
Jenkins Nutrition|25000|2026-07-19|NA|Yellow|Ethan Wong|Technology
Stein Systems|25000|2026-10-09|NA|Red|Zoe Davis|
Russell Digital|25000|2026-08-14|EMEA|Green|Hannah Lee|Financial Services
Mountain Digital|25000|2026-11-09|NA|Yellow|Ethan Wong|
Parker Brookfield Networks|25000|2026-09-20|NA|Yellow|Mark ONeill|Manufacturing
Ramos Supply|25000|2026-10-12|NA|Red|Zoe Davis|
Santos Devices|25000|2026-07-09|APAC|Yellow|Grace Johnson|Technology
Li Investments|25000|2026-12-29|NA|Red|Ethan Wong|Technology
Horizon Cedar IoT|25000|2026-10-18|NA|Yellow|Mark ONeill|
Keystone Financial|25000|2027-02-13|EMEA|Red|Carlos Ramirez|Technology
Farrell Digital|25000|2026-10-12|LATAM|Red|Carlos Ramirez|
Perry Riverview Consumer Goods|25000|2026-10-28|NA|Green|Grace Johnson|Cybersecurity
Acorn Systems|25000|2026-04-10|NA|Red|Ethan Wong|Healthcare
Silva Genomics|25000|2028-03-03|NA|Yellow|Ethan Wong|
Delgado Stores|25000|2027-01-26|NA|Yellow|Carlos Ramirez|
Gold Aspen Life Sciences|25000|2027-04-07|NA|Red|Mark ONeill|Healthcare
Richards Telehealth|25000|2026-09-04|NA|Yellow|Ethan Wong|Retail
Stonegate Data|25000|2026-10-29|NA|Yellow|Carlos Ramirez|Technology
Wong Catalog|25000|2027-02-26|NA|Red|Ethan Wong|
Mercury Networks|25000|2026-10-12|NA|Yellow|Carlos Ramirez|
Apex Meridian Analytics|25000|2026-03-20|NA|Yellow|Grace Johnson|Technology
Mori Robotics|25000|2026-12-21|APAC|Red|Grace Johnson|Manufacturing
Weber Digital|25000|2026-10-01|APAC|Red|Zoe Davis|
Oak Crest Technologies|25000|2026-10-14|EMEA|Red|Hannah Lee|
Frontier Analytics|25000|2026-10-21|NA|Red|Hannah Lee|
Harbor Biotech|25000|2026-12-06|NA|Red|Grace Johnson|Financial Services
Webb Outfitters|25000|2027-03-09|EMEA|Yellow|Zoe Davis|Financial Services
Rivera Omnichannel|20000|2027-06-04|NA|Yellow|Grace Johnson|Financial Services
Banyan Group|20000|2026-11-13|NA|Yellow|Grace Johnson|Technology
Cunningham AI|20000|2027-05-01|NA|Red|Ethan Wong|Financial Services
Topaz Badger Biotech|20000|2026-07-22|NA|Yellow|Zoe Davis|Retail
Bold Automation|20000|2027-01-20|APAC|Yellow|Zoe Davis|Technology
Teal Platforms|20000|2026-12-06|NA|Yellow|Mark ONeill|
Erickson Finance|20000|2027-01-10|NA|Yellow|Carlos Ramirez|Technology
Kumar Process Controls|20000|2027-05-29|NA|Yellow|Zoe Davis|Financial Services
Bayside IoT|20000|2026-08-25|NA|Yellow|Carlos Ramirez|Technology
Gonzalez Finance|20000|2027-02-26|NA|Red|Mark ONeill|Manufacturing
Cormorant Cloud|20000|2026-09-21|APAC|Red|Ethan Wong|Retail
Walsh Riverside Systems|20000|2026-09-24|NA|Yellow|Mark ONeill|
Doyle Partners|20000|2027-02-11|APAC|Yellow|Ethan Wong|Technology
Knoll Platforms|20000|2026-08-25|NA|Yellow|Zoe Davis|Manufacturing
Sutherland Outfitters|20000|2026-11-17|NA|Red|Ethan Wong|
Riverton Threat Labs|20000|2027-04-20|NA|Yellow|Ethan Wong|
Pearson Rocky Devices|20000|2026-10-30|EMEA|Red|Carlos Ramirez|Retail
Edwards Outfitters|20000|2027-01-01|NA|Green|Grace Johnson|Retail
Bailey Outfitters|20000|2027-01-11|NA|Red|Mark ONeill|Financial Services
Khan Semiconductors|20000|2026-09-27|NA|Red|Zoe Davis|
Romero Wealth|20000|2027-01-15|EMEA|Yellow|Hannah Lee|
Queensgate Heron Devices|20000|2026-12-12|EMEA|Green|Zoe Davis|
Smith Technologies|20000|2026-10-17|LATAM|Red|Hannah Lee|
Hayes Capital|20000|2026-04-16|NA|Red|Carlos Ramirez|Cybersecurity
Verdant Enterprises|20000|2027-02-26|NA|Yellow|Zoe Davis|
Granite Ecommerce|20000|2026-11-26|EMEA|Red|Zoe Davis|
Ito Fulfillment|15000|2027-07-04|APAC|Green|Hannah Lee|Technology
Cedarwood Brookfield Pharma|15000|2026-11-04|NA|Green|Grace Johnson|
Hillview Assemblies|15000|2026-08-09|EMEA|Yellow|Hannah Lee|Cybersecurity
Mills AI|15000|2026-09-27|EMEA|Green|Ethan Wong|Financial Services
Coastal Oakridge Systems|15000|2026-11-22|NA|Yellow|Grace Johnson|
Medina Prairie Wealth|15000|2026-11-16|NA|Yellow|Ethan Wong|Retail
Valley Fintech|15000|2026-09-16|EMEA|Red|Zoe Davis|Manufacturing
Sandstone Networks|15000|2027-02-25|NA|Yellow|Ethan Wong|Financial Services
Moorhen Gate Outfitters|15000|2027-05-06|LATAM|Yellow|Mark ONeill|Healthcare
Price AI|15000|2027-02-15|EMEA|Yellow|Hannah Lee|Healthcare
Roberts Ecommerce|15000|2026-04-10|NA|Red|Hannah Lee|Manufacturing
Rosa Fjord Treasury|15000|2026-09-28|NA|Red|Carlos Ramirez|Retail
Ruiz Harborside Software|15000|2027-03-05|NA|Red|Grace Johnson|Technology
Allen Harbourview Digital|15000|2027-02-12|EMEA|Green|Hannah Lee|
Yamamoto Aspen Advisors|15000|2027-03-21|NA|Red|Zoe Davis|Retail
Rice Bluff Digital|15000|2027-01-12|NA|Red|Grace Johnson|
Peterson Leopard Nutrition|15000|2026-07-14|EMEA|Yellow|Carlos Ramirez|Retail
Scarlet Waterfront Analytics|15000|2026-09-18|NA|Red|Mark ONeill|
Sentinel Materials|15000|2026-12-05|EMEA|Yellow|Ethan Wong|Healthcare
Hearth Wealth|15000|2026-11-10|NA|Red|Grace Johnson|Healthcare
Summit Orchard Goods|15000|2026-09-04|NA|Red|Hannah Lee|Financial Services
Cirrus Advisors|15000|2026-11-03|NA|Red|Grace Johnson|Cybersecurity
Bluejay Holdings|15000|2026-09-26|NA|Green|Carlos Ramirez|
Ocelot Ridge Merchants|10000|2027-03-08|NA|Red|Grace Johnson|
Carlson Mobility|10000|2026-10-06|NA|Yellow|Carlos Ramirez|
Daly IoT|10000|2027-06-06|EMEA|Red|Hannah Lee|
Manchester Westlake Investments|10000|2026-10-21|LATAM|Yellow|Mark ONeill|
Hillcrest Software|10000|2027-06-28|NA|Green|Grace Johnson|Manufacturing
Cooper Osprey Devices|10000|2026-03-31|NA|Red|Hannah Lee|
